system:index,CD_MUN,eventos_calor_2022,p90_temp,.geo
000000000000000000bf,3548807,6,23.06097803115847,"{""type"":""Point"",""coordinates"":[-46.566137426869716,-23.626050752078534]}"
000000000000000000ee,3548708,8,23.303694025675483,"{""type"":""Point"",""coordinates"":[-46.55070948736395,-23.812955650150812]}"
0000000000000000010c,3547809,6,23.06097803115847,"{""type"":""Point"",""coordinates"":[-46.441714735974465,-23.727908022465787]}"
0000000000000000018d,3513801,6,23.06097803115847,"{""type"":""Point"",""coordinates"":[-46.61140707670662,-23.6973026459636]}"
000000000000000001a9,3529401,6,23.06097803115847,"{""type"":""Point"",""coordinates"":[-46.446331828874,-23.6661214453316]}"
00000000000000000259,3544103,6,22.576366572909915,"{""type"":""Point"",""coordinates"":[-46.37945214059124,-23.737858286158332]}"
0000000000000000026c,3543303,6,22.576366572909915,"{""type"":""Point"",""coordinates"":[-46.40279317030362,-23.701075185711478]}"
00000000000000000051,3550605,5,22.682556486129783,"{""type"":""Point"",""coordinates"":[-47.10956896306857,-23.54895793485415]}"
000000000000000000d4,3523909,7,23.064591598510766,"{""type"":""Point"",""coordinates"":[-47.28463199406653,-23.30713153425745]}"
000000000000000001d5,3545209,7,23.064591598510766,"{""type"":""Point"",""coordinates"":[-47.30260722659115,-23.18047378988047]}"
000000000000000001ec,3528403,5,22.682556486129783,"{""type"":""Point"",""coordinates"":[-47.22928890501725,-23.507939482532663]}"
0000000000000000001c,3510302,8,23.676084666781975,"{""type"":""Point"",""coordinates"":[-47.7309815399344,-23.467379071242632]}"
00000000000000000025,3551108,4,23.211008326212593,"{""type"":""Point"",""coordinates"":[-47.78578066639157,-23.66429391963035]}"
00000000000000000029,3525854,6,24.54840410020618,"{""type"":""Point"",""coordinates"":[-47.78813015887726,-23.099621795770666]}"
000000000000000000b7,3540606,8,23.935198211669935,"{""type"":""Point"",""coordinates"":[-47.516921399880516,-23.23030044803531]}"
0000000000000000010a,3507001,7,24.05190929231191,"{""type"":""Point"",""coordinates"":[-47.67496595273104,-23.287578022514293]}"
00000000000000000178,3554508,8,24.57688538687572,"{""type"":""Point"",""coordinates"":[-47.707786324908525,-23.049165159938962]}"
000000000000000001ad,3537909,4,22.691764132181817,"{""type"":""Point"",""coordinates"":[-47.7281206588186,-23.85635466902448]}"
000000000000000001bc,3537800,5,22.152953211466478,"{""type"":""Point"",""coordinates"":[-47.43814125359132,-23.786984685415543]}"
000000000000000001c9,3553500,4,22.691764132181817,"{""type"":""Point"",""coordinates"":[-47.619510561087296,-24.008688521955857]}"
000000000000000001da,3521002,8,23.676084666781975,"{""type"":""Point"",""coordinates"":[-47.62912212198328,-23.404481045182926]}"
00000000000000000213,3519709,5,21.937361145019565,"{""type"":""Point"",""coordinates"":[-47.215205454878074,-23.802302961213886]}"
00000000000000000215,3511508,7,24.05190929231191,"{""type"":""Point"",""coordinates"":[-47.75713312522865,-23.187120759184797]}"
00000000000000000254,3502754,5,22.563359923589832,"{""type"":""Point"",""coordinates"":[-47.07237412863337,-23.43441045502668]}"
00000000000000000045,3501152,5,22.682556486129783,"{""type"":""Point"",""coordinates"":[-47.281249044997736,-23.532994101890534]}"
000000000000000000bd,3557006,10,23.31074867248536,"{""type"":""Point"",""coordinates"":[-47.40652833984256,-23.579877657138024]}"
000000000000000001cc,3545308,5,23.30376608106828,"{""type"":""Point"",""coordinates"":[-47.5806336910712,-23.65276342190043]}"
0000000000000000024a,3502903,8,23.676084666781975,"{""type"":""Point"",""coordinates"":[-47.65152043326307,-23.543859165205546]}"
00000000000000000252,3552205,10,23.31074867248536,"{""type"":""Point"",""coordinates"":[-47.44676677279075,-23.464546286190608]}"
00000000000000000063,3500758,5,23.43029993375145,"{""type"":""Point"",""coordinates"":[-47.86905148749893,-23.54892885858653]}"
0000000000000000014a,3522307,5,23.18883719974097,"{""type"":""Point"",""coordinates"":[-48.12324030895925,-23.64545164967232]}"
0000000000000000006f,3550209,4,22.93265288670861,"{""type"":""Point"",""coordinates"":[-47.99336576867228,-23.91391547358696]}"
000000000000000001a0,3554003,6,23.97646865844729,"{""type"":""Point"",""coordinates"":[-47.86950407114323,-23.36207197957887]}"
00000000000000000218,3511607,6,23.97646865844729,"{""type"":""Point"",""coordinates"":[-47.903889130319904,-23.216511790277718]}"
000000000000000001ff,3520509,7,23.821475530553773,"{""type"":""Point"",""coordinates"":[-47.2025087777642,-23.106060505027862]}"
00000000000000000086,3524709,5,23.717864354451525,"{""type"":""Point"",""coordinates"":[-47.01277823189116,-22.691979164254132]}"
00000000000000000122,3548005,4,24.568312793307857,"{""type"":""Point"",""coordinates"":[-46.94991788759235,-22.603276861911937]}"
000000000000000001c1,3537107,5,23.717864354451525,"{""type"":""Point"",""coordinates"":[-46.88856711180679,-22.754738361739967]}"
00000000000000000204,3503802,7,24.57560551961267,"{""type"":""Point"",""coordinates"":[-47.13229493682983,-22.562084333644613]}"
00000000000000000245,3519055,4,24.568312793307857,"{""type"":""Point"",""coordinates"":[-47.064936551743365,-22.630303399179073]}"
00000000000000000050,3501608,7,24.16549444652741,"{""type"":""Point"",""coordinates"":[-47.289115769434,-22.723245563271213]}"
0000000000000000005a,3533403,7,24.16549444652741,"{""type"":""Point"",""coordinates"":[-47.28515050480639,-22.784112943034263]}"
000000000000000001a4,3545803,7,24.19270631699337,"{""type"":""Point"",""coordinates"":[-47.42807351747285,-22.80061800324848]}"
0000000000000000002b,3509502,5,23.717864354451525,"{""type"":""Point"",""coordinates"":[-47.04374758772654,-22.883740768355974]}"
000000000000000000f3,3556701,5,23.2958883603414,"{""type"":""Point"",""coordinates"":[-46.97905653318846,-23.046459759602026]}"
00000000000000000111,3531803,7,23.821475530553773,"{""type"":""Point"",""coordinates"":[-47.307336189696954,-22.95319331712298]}"
0000000000000000011f,3556206,5,23.2958883603414,"{""type"":""Point"",""coordinates"":[-46.98121203041184,-22.97511836040751]}"
000000000000000001db,3512803,7,24.57560551961267,"{""type"":""Point"",""coordinates"":[-47.187275523416325,-22.65240240983291]}"
000000000000000001f4,3536505,7,24.16549444652741,"{""type"":""Point"",""coordinates"":[-47.1450677032972,-22.748363159817156]}"
00000000000000000226,3552403,7,24.16549444652741,"{""type"":""Point"",""coordinates"":[-47.262992349767046,-22.841864575787238]}"
00000000000000000244,3519071,7,24.16549444652741,"{""type"":""Point"",""coordinates"":[-47.207721500084475,-22.878425946025708]}"
0000000000000000011b,3523404,6,22.913029607137066,"{""type"":""Point"",""coordinates"":[-46.8142956046541,-23.006702012862874]}"
000000000000000000ce,3532009,5,22.933578983942695,"{""type"":""Point"",""coordinates"":[-46.78254594049359,-22.89386430733306]}"
00000000000000000102,3515152,7,24.57560551961267,"{""type"":""Point"",""coordinates"":[-47.174942091818515,-22.48700124074123]}"
