CD_MUN,indicador,temp_urbana,temp_nao_urbana,urb_pixels,nao_urb_pixels
3548807,-9999,19.07909807023552,-9999,4,0
3548708,-0.4081584927683437,18.686861386607852,19.095019879376196,9,22
3547809,-0.4887943875580838,18.859165492074514,19.347959879632597,9,11
3513801,0.030210605000213775,18.73953087003314,18.709320265032925,5,1
3529401,-0.002604917358844716,18.810922622076276,18.81352753943512,7,3
3544103,-0.08166987812864335,18.665464604905303,18.747134483033946,1,6
3543303,-0.05017128244472957,18.66974747436151,18.71991875680624,4,9
3550605,0.3986216086898473,19.09707006215951,18.698448453469663,3,21
3523909,0.2404954650563056,20.520239070733908,20.279743605677602,4,38
3545209,0.0033755578333689584,20.74075940694568,20.737383849112312,3,10
3528403,-0.3105055087287809,19.002542894112786,19.313048402841567,3,16
3510302,-9999,-9999,20.29859506865105,0,18
3551108,-9999,-9999,19.574010065897806,0,28
3525854,-9999,-9999,21.26524098818997,0,7
3540606,-9999,-9999,20.852653635540992,0,38
3507001,0.13059409727881288,20.83781581326723,20.707221715988418,2,18
3554508,-0.4033144719983355,20.972687634967667,21.376002106966002,1,31
3537909,-9999,-9999,18.588466752200528,0,45
3537800,-9999,-9999,18.320244479173287,0,51
3553500,-9999,-9999,18.728835406774667,0,55
3521002,-9999,-9999,20.422730755588653,0,14
3519709,-9999,-9999,18.456899245890654,0,65
3511508,0.04975782477125534,20.972687634967667,20.92292981019641,1,11
3502754,-9999,-9999,19.16071298952842,0,15
3501152,-9999,-9999,19.335145040291376,0,10
3557006,0.472846979050658,19.869016112752494,19.396169133701836,3,14
3545308,-9999,-9999,19.56427045566425,0,24
3502903,0.18861844368966985,20.263880999708405,20.075262556018735,1,21
3552205,0.08265123932539709,20.28722887110858,20.204577631783184,8,24
3500758,-9999,-9999,19.773446543665482,0,15
3522307,-0.025113509248338772,19.484746661553064,19.509860170801403,1,105
3550209,-9999,-9999,18.60688150153667,0,58
3554003,-9999,-9999,20.40898459617276,0,37
3511607,-9999,-9999,20.718970747829594,0,17
3520509,0.09546866576578239,20.524119849540558,20.428651183774775,3,22
3524709,-0.011073404901921435,21.375421070965263,21.386494475867185,1,15
3548005,-9999,-9999,21.24075602814487,0,14
3537107,0.4082078694076081,21.02404224819193,20.61583437878432,2,10
3503802,-9999,-9999,21.45024414927416,0,16
3519055,-9999,-9999,21.432164994236405,0,9
3501608,0.04652935332539698,21.604124896775545,21.557595543450148,4,9
3533403,5.475501147849116E-4,21.407017836338028,21.406470286223243,4,4
3545803,0.2031823949876319,21.71700242255639,21.51382002756876,1,18
3509502,0.14499977151696442,20.824202540210514,20.67920276869355,17,33
3556701,0.24461972399721432,20.047229000674353,19.80260927667714,4,5
3531803,0.1078586473418035,21.208783862450314,21.10092521510851,3,19
3556206,0.12339336200592399,20.26914786584766,20.145754503841736,5,10
3512803,-0.03145794965767834,21.469812722607895,21.501270672265573,1,16
3536505,-0.06073734105612516,21.352787498541723,21.413524839597848,4,8
3552403,-0.03459154992067326,21.280291995061123,21.314883544981797,7,6
3519071,-0.026887875427473062,21.152595093170955,21.17948296859843,7,2
3523404,-0.012995349415028556,19.567096725226367,19.580092074641396,1,25
3532009,-9999,-9999,19.558215966443928,0,14
3515152,-9999,-9999,21.492372109157206,0,10
